timestamp,service_type,worker_id,model,AudioDurationSeconds,ChunkAudioSeconds,ChunkCount,ChunkProcessingSeconds,DownloadSeconds,GPUMemoryUsedMB,GPUMemoryUtilizationPercent,GPUPeakMemoryGB,GPUUtilizationPercent,PrepSeconds,RealTimeFactor,RequestRealTimeFactor,RequestTotalSeconds,ThroughputAudioPerSecond,TranscribeSeconds,chunk_index,full_model_name,input_key,total_chunks
2025-12-17 22:10:35.951,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4693.0,0.0,,0.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:36.296,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4693.0,0.0,,0.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:36.381,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.062,,4741.0,0.0,,0.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:36.632,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,5.0,,10.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:36.720,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.065,,4741.0,5.0,,10.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:36.971,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,5.0,,11.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:37.054,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.061,,4741.0,7.0,,15.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:37.320,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,3.0,,6.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:37.371,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.067,,4789.0,3.0,,6.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:37.391,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4789.0,3.0,,6.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:37.671,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4787.0,1.0,,3.0,,0.002,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:37.711,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.067,,4789.0,1.0,,3.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:37.735,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.072,,4789.0,1.0,,3.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:38.014,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.062,,4741.0,8.0,,19.0,,0.002,,,,,6,,input/4m36s.wav,10
2025-12-17 22:10:38.051,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4789.0,8.0,,19.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:38.080,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.071,,4789.0,8.0,,19.0,,0.002,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:38.351,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4789.0,7.0,,14.0,,0.002,,,,,7,,input/4m36s.wav,10
2025-12-17 22:10:38.410,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.062,,4789.0,14.0,,31.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:38.435,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.062,,4789.0,14.0,,31.0,,0.002,,,,,6,,input/4m36s.wav,10
2025-12-17 22:10:38.685,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4787.0,1.0,,1.0,,0.002,,,,,8,,input/4m36s.wav,10
2025-12-17 22:10:38.753,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.07,,4789.0,1.0,,1.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:38.771,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.061,,4789.0,1.0,,1.0,,0.002,,,,,7,,input/4m36s.wav,10
2025-12-17 22:10:39.022,chunked,9,nvidia/parakeet-ctc-0.6b,,6.201,,0.058,,4695.0,2.0,,5.0,,0.009,,,,,9,,input/4m36s.wav,10
2025-12-17 22:10:39.023,chunked,9,parakeet-ctc-0.6b,276.2,,10,,0.1,,,1.29,,1.19,,0.017,4.7,58.79,3.4,,nvidia/parakeet-ctc-0.6b,input/4m36s.wav,
2025-12-17 22:10:39.096,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.068,,4743.0,2.0,,5.0,,0.002,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:39.110,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4743.0,2.0,,5.0,,0.002,,,,,8,,input/4m36s.wav,10
2025-12-17 22:10:39.441,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.067,,4695.0,5.0,,15.0,,0.002,,,,,6,,input/4m36s.wav,10
2025-12-17 22:10:39.457,chunked,7,nvidia/parakeet-ctc-0.6b,,6.201,,0.071,,4695.0,5.0,,15.0,,0.011,,,,,9,,input/4m36s.wav,10
2025-12-17 22:10:39.457,chunked,7,parakeet-ctc-0.6b,276.2,,10,,0.11,,,1.29,,1.18,,0.017,4.7,58.79,3.41,,nvidia/parakeet-ctc-0.6b,input/4m36s.wav,
2025-12-17 22:10:39.790,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4695.0,2.0,,7.0,,0.002,,,,,7,,input/4m36s.wav,10
2025-12-17 22:10:40.132,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.058,,4693.0,0.0,,0.0,,0.002,,,,,8,,input/4m36s.wav,10
2025-12-17 22:10:40.469,chunked,0,nvidia/parakeet-ctc-0.6b,,6.201,,0.066,,4647.0,0.0,,2.0,,0.011,,,,,9,,input/4m36s.wav,10
2025-12-17 22:10:40.470,chunked,0,parakeet-ctc-0.6b,276.2,,10,,0.14,,,1.29,,1.22,,0.017,4.8,57.6,3.44,,nvidia/parakeet-ctc-0.6b,input/4m36s.wav,
2025-12-17 22:10:41.078,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.059,,4693.0,0.0,,0.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:41.410,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4693.0,5.0,,11.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:41.518,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.082,,4741.0,5.0,,11.0,,0.003,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:41.749,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.062,,4741.0,5.0,,10.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:41.852,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,7.0,,15.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:42.081,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.061,,4741.0,3.0,,7.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:42.190,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,3.0,,7.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:42.430,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4789.0,5.0,,11.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:42.484,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4789.0,5.0,,11.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:42.530,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.064,,4789.0,5.0,,11.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:42.776,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4789.0,10.0,,20.0,,0.002,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:42.824,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.061,,4789.0,10.0,,22.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:42.870,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.066,,4789.0,10.0,,22.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:43.130,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.065,,4789.0,4.0,,9.0,,0.002,,,,,6,,input/4m36s.wav,10
2025-12-17 22:10:43.160,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4789.0,4.0,,9.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:43.214,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.062,,4789.0,14.0,,32.0,,0.002,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:43.478,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4741.0,0.0,,1.0,,0.002,,,,,7,,input/4m36s.wav,10
2025-12-17 22:10:43.497,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.058,,4789.0,0.0,,1.0,,0.002,,,,,3,,input/4m36s.wav,10
